SSC ID,Station Name,Country_x,Latitude,Longitude,IOC code,PTWC code,GLOSS ID_x,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Details,Edit,Code,GLOSS ID_y,Country_y,Location,Connection,DCP ID,Last observation  Level,Time in GMT,Delay,TransmitInterval,View
SSC-abas,Abashiri,Japan,44.02,144.28,abas,abas,327.0,347,1104,797,2107,[details],[edit],abas,327,Japan,Abashiri,SWJP40,ABASHIRI,2.12,08:39,20',10',[open]
SSC-abed,Aberdeen,United Kingdom,57.14,-2.08,abed,,,,"21, 361",617,"2185, 2735",[details],[edit],abed,,UK,Aberdeen,ftp,,0.53,08:15,44',15',[open]
SSC-abur,Aburatsu,Japan,31.35,131.25,abur,abur,82.0,354,814,806,2209,[details],[edit],abur,82,Japan,Aburatsu,SWJP40,ABURATSU,2.94,08:39,20',10',[open]
SSC-acaj,Acajutla,El Salvador,13.57,-89.84,acaj,acaj,182.0,82,"1011, 1302",,2859,[details],[edit],acaj,182,El Salvador,Acajutla,SEMS40,50313520,4.22,08:46,13',5',[open]
SSC-acnj,Atlantic City,United States,39.36,-74.42,"acnj, acnj2",acnj,220.0,264,180,2923,2876,[details],[edit],acnj,220,USA,Atlantic City,web,3367B730,0.94,08:50,9',5',[open]
SSC-acnj,Atlantic City,United States,39.36,-74.42,"acnj, acnj2",acnj,220.0,264,180,2923,2876,[details],[edit],acnj2,220,USA,Atlantic City,SXXX03,3367B730,-8.09,08:43,16',5',[open]
SSC-adak,Adak,United States,51.86,-176.63,"adak, adak2",adak,302.0,40,487,2667,2666,[details],[edit],adak,302,USA,Adak,web,3360F60E,0.63,08:52,7',6',[open]
SSC-adak,Adak,United States,51.86,-176.63,"adak, adak2",adak,302.0,40,487,2667,2666,[details],[edit],adak2,302,USA,Adak,SXXX03,3360F60E,-2.64,08:47,12',6',[open]
SSC-aden,Aden,Yemen,12.79,44.97,aden,aden,3.0,172,44,,2790,[details],[edit],aden,3,Yemen,Aden,SXXX33,3686B76A,-9.07,08:27,32',15',[open]
SSC-agal,Agalega,Mauritius,-10.35,56.59,agal,agal,,,,,,[details],[edit],agal,,Mauritius,Agalega,SXXX32,3246B586,7.01,08:46,13',15',[open]
SSC-ajac,Ajaccio,France,41.92,8.76,"ajac, ajac2",ajac,,,1929,"3197, 619",1719,[details],[edit],ajac,,France,Ajaccio,ftp,,0.6,08:48,10',5',[open]
SSC-alak,Alitak,United States,56.9,-154.25,"alak, alak2",alak,,,,,,[details],[edit],alak,,USA,Alitak,web,3363341E,2.32,08:51,8',5',[open]
SSC-alak,Alitak,United States,56.9,-154.25,"alak, alak2",alak,,,,,,[details],[edit],alak2,,USA,Alitak,SXXX03,3363341E,-4.98,08:44,15',5',[open]
SSC-alam,Alameda,United States,37.77,-122.3,"alam, alam2",alam,,,437,3319,3318,[details],[edit],alam,,USA,Alameda,web,3362E08C,2.05,08:49,10',5',[open]
SSC-alam,Alameda,United States,37.77,-122.3,"alam, alam2",alam,,,437,3319,3318,[details],[edit],alam2,,USA,Alameda,SXXX03,3362E08C,-3.91,08:36,23',5',[open]
SSC-albu,Albufeira,Portugal,37.08,8.26,albu,albu,,,,,,[details],[edit],albu,,Portugal,Albufeira,bgan,ALBU,-1.41,08:38,21',1',[open]
SSC-alcu,Alcudia,Spain,39.87,3.12,alcu,,,,2063,,,[details],[edit],alcu,,Spain,Alcudia,ftp,,0.54,08:48,11',4',[open]
SSC-alex,Alexandria,Egypt,31.21,29.92,alex,alex,349.0,807,"2088, 503","2006, 933","2206, 3010",[details],[edit],alex,349,Egypt,Alexandria,SXXX32,2636F22C,,2016-08-11 11:54,406d,15',[open]
SSC-alge,Algeciras,Spain,36.18,-5.4,alge,alge,,,,3373,3464,[details],[edit],alge,,Spain,Algeciras,ftp,,0.3,08:48,11',4',[open]
SSC-alme,Almeria,Spain,36.83,-2.48,alme,,,,"1455, 2056","3461, 624","2193, 2395",[details],[edit],alme,,Spain,Almeria,ftp,,0.33,08:44,15',4',[open]
SSC-alva,Alvarado,Mexico,18.77,-95.77,alva,,,,768,,,[details],[edit],alva,,Mexico,Alvarado,ftp,,5.8,08:22,37',10',[open]
SSC-amal,Charlotte-Amalie,United States,18.33,-64.92,"amal, amal2",amal,,255,1393,"1899, 2664",2663,[details],[edit],amal,,USA,Charlotte-Amalie,web,3364A348,0.69,2017-09-06 17:45,15d,6',[open]
SSC-amal,Charlotte-Amalie,United States,18.33,-64.92,"amal, amal2",amal,,255,1393,"1899, 2664",2663,[details],[edit],amal2,,USA,Charlotte-Amalie,SXXX03,3364A348,-2.5,2017-09-06 17:38,15d,6',[open]
SSC-ambo,Ambon,Indonesia,-3.68,128.18,ambon,ambo,68.0,133,"1815, 347",3216,2821,[details],[edit],ambon,68,Indonesia,Ambon,SZID40,06503AC6,4.76,08:18,41',6',[open]
SSC-anca,Ancona,Italy,43.62,13.51,AN15,,,,"101, 2098",3153,"3151, 3152",[details],[edit],AN15,,Italy,Ancona,web,,0.16,08:53,6',5',[open]
SSC-anch,Anchorage,United States,61.24,-149.89,"anch, anch2",anch,,,1067,1897,2104,[details],[edit],anch,,USA,Anchorage,web,3363B20A,2.98,08:51,8',5',[open]
SSC-anch,Anchorage,United States,61.24,-149.89,"anch, anch2",anch,,,1067,1897,2104,[details],[edit],anch2,,USA,Anchorage,SXXX03,3363B20A,-6.9,08:44,15',5',[open]
SSC-ancu,Ancud,Chile,-41.87,-73.83,"ancu, ancu2",ancu,,,,,,[details],[edit],ancu,,Chile,Ancud,SXCH40,ADC12228,4.62,08:44,15',10',[open]
SSC-ancu,Ancud,Chile,-41.87,-73.83,"ancu, ancu2",ancu,,,,,,[details],[edit],ancu2,,Chile,Ancud,web,,4.42,08:47,11',10',[open]
SSC-ande,Andenes,Norway,69.32,16.15,ande,,322.0,800,425,3573,2263,[details],[edit],ande,322,Norway,Andenes,web,,0.5,10:10,-71',1h,[open]
SSC-anto,Antofagasta,Chile,-23.65,-70.4,"anto, anto2",anto,174.0,80,"510, 511",2608,"2607, 2753",[details],[edit],anto,174,Chile,Antofagasta,SXCH40,ADC0F6BA,4.74,08:48,11',5',[open]
SSC-anto,Antofagasta,Chile,-23.65,-70.4,"anto, anto2",anto,174.0,80,"510, 511",2608,"2607, 2753",[details],[edit],anto2,174,Chile,Antofagasta,web,,4.69,08:47,12',5',[open]
SSC-anzio,Anzio,Italy,41.45,12.63,AZ42,,,,2136,,,[details],[edit],AZ42,,Italy,Anzio,web,,-999,2017-09-16 09:18,5d,5',[open]
SSC-apfl,Apalachicola,United States,29.73,-84.98,"apfl, apfl2",apfl,,760,1193,,,[details],[edit],apfl,,USA,Apalachicola,web,3346C2B4,0.65,08:49,10',5',[open]
SSC-apfl,Apalachicola,United States,29.73,-84.98,"apfl, apfl2",apfl,,760,1193,,,[details],[edit],apfl2,,USA,Apalachicola,SXXX03,3346C2B4,-6.03,08:48,11',5',[open]
SSC-arac,Arecibo,Puerto Rico,18.48,-66.7,"arac, aracS",arec,,735,2213,,,[details],[edit],arac,,Puerto Rico,Arecibo,web,,0.08,08:48,11',6',[open]
SSC-arca,Arcachon Eyrac,France,44.67,-1.16,arca,,,,1918,3191,1724,[details],[edit],arca,,France,Arcachon Eyrac,ftp,,1.99,08:47,11',5',[open]
SSC-aren,Arena Cove,United States,38.91,-123.71,"aren, aren2",aren,,573,2125,3026,3025,[details],[edit],aren,,USA,Arena Cove,web,3368115A,1.54,08:51,8',5',[open]
SSC-aren,Arena Cove,United States,38.91,-123.71,"aren, aren2",aren,,573,2125,3026,3025,[details],[edit],aren2,,USA,Arena Cove,SXXX03,3368115A,-7.81,08:44,15',5',[open]
SSC-aric,Arica,Chile,-18.48,-70.32,"aric, aric2",aric,,83,"1554, 618","2610, 3159",2609,[details],[edit],aric,,Chile,Arica,SXCH40,ADC0D056,3.94,08:47,12',5',[open]
SSC-aric,Arica,Chile,-18.48,-70.32,"aric, aric2",aric,,83,"1554, 618","2610, 3159",2609,[details],[edit],aric2,,Chile,Arica,web,,3.88,08:46,12',5',[open]
SSC-arre,Arrecife,Spain,28.97,-13.53,arre,,,205,"2066, 593",,,[details],[edit],arre,,Spain,Arrecife,ftp,,0.75,08:48,11',4',[open]
